264,Radiologi,MR lumbosacral nonkontras,Permintaan & Hasil,91717-9,MR Spine Lumbar and Sacrum WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,MR,,http://loinc.org,,,
265,Radiologi,MR mastoid dengan kontras,Permintaan & Hasil,48440-2,MR Skull base W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Skull.base,Doc,MR,,http://loinc.org,59066005,Mastoid structure,http://snomed.info/sct
266,Radiologi,MR mastoid nonkontras,Permintaan & Hasil,48687-8,MR Skull base WO contrast,Multisection^WO contrast,Find,Pt,Head>Skull.base,Doc,MR,,http://loinc.org,59066005,Mastoid structure,http://snomed.info/sct
267,Radiologi,MR mediastinum dengan kontras,Permintaan & Hasil,37272-2,MR Mediastinum WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Mediastinum,Doc,MR,,http://loinc.org,,,
268,Radiologi,MR mediastinum nonkontras,Permintaan & Hasil,80495-5,MR Mediastinum WO contrast,Multisection^WO contrast,Find,Pt,Chest>Mediastinum,Doc,MR,,http://loinc.org,,,
269,Radiologi,MR mediastinum nonkontras diikuti dengan kontras IV,Permintaan & Hasil,37272-2,MR Mediastinum WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Mediastinum,Doc,MR,,http://loinc.org,,,
270,Radiologi,MR nasofaring dengan kontras IV,Permintaan & Hasil,36233-5,MR Nasopharynx W contrast IV,Multisection^W contrast IV,Find,Pt,Head+Neck>Nasopharynx,Doc,MR,,http://loinc.org,,,
271,Radiologi,MR nasofaring nonkontras,Permintaan & Hasil,36513-0,MR Nasopharynx WO contrast,Multisection^WO contrast,Find,Pt,Head+Neck>Nasopharynx,Doc,MR,,http://loinc.org,,,
272,Radiologi,MR orbita dengan kontras IV,Permintaan & Hasil,36820-9,MR Orbit W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Orbit,Doc,MR,,http://loinc.org,,,
273,Radiologi,MR orbita nonkontras,Permintaan & Hasil,36872-0,MR Orbit WO contrast,Multisection^WO contrast,Find,Pt,Head>Orbit,Doc,MR,,http://loinc.org,,,
274,Radiologi,MR orbita nonkontras dan diikuti dengan kontras IV,Permintaan & Hasil,36842-3,MR Orbit WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Orbit,Doc,MR,,http://loinc.org,,,
275,Radiologi,"MR orbita, wajah, dan leher dengan kontras IV",Permintaan & Hasil,46321-6,MR Orbit and Face and Neck W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Orbit+Face & Neck,Doc,MR,,http://loinc.org,,,
276,Radiologi,"MR orbita, wajah, dan leher nonkontras",Permintaan & Hasil,46332-3,MR Orbit and Face and Neck WO contrast,Multisection^WO contrast,Find,Pt,Head>Orbit+Face & Neck,Doc,MR,,http://loinc.org,,,
277,Radiologi,"MR orbita, wajah, dan leher nonkontras diikuti dengan kontras IV",Permintaan & Hasil,46310-9,MR Orbit and Face and Neck WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Orbit+Face & Neck,Doc,MR,,http://loinc.org,,,
278,Radiologi,MR orofaring dengan kontras,Permintaan & Hasil,43455-5,MR Oropharynx,Multisection,Find,Pt,Head+Neck>Oropharynx,Doc,MR,,http://loinc.org,,,
279,Radiologi,MR orofaring nonkontras,Permintaan & Hasil,43455-5,MR Oropharynx,Multisection,Find,Pt,Head+Neck>Oropharynx,Doc,MR,,http://loinc.org,,,
280,Radiologi,MR os nasal nonkontras,Permintaan & Hasil,69211-1,MR Nasal bones,Multisection,Find,Pt,Head>Nasal bones,Doc,MR,,http://loinc.org,,,
281,Radiologi,MR otak dengan kontras IV,Permintaan & Hasil,24589-4,MR Brain W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Brain,Doc,MR,,http://loinc.org,,,
282,Radiologi,MR otak nonkontras,Permintaan & Hasil,30657-1,MR Brain WO contrast,Multisection^WO contrast,Find,Pt,Head>Brain,Doc,MR,,http://loinc.org,,,
283,Radiologi,MR otak nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24587-8,MR Brain WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Brain,Doc,MR,,http://loinc.org,,,
284,Radiologi,MR otak terbatas dengan kontras IV,Permintaan & Hasil,36096-6,MR Brain limited W contrast IV,Multisection limited^W contrast IV,Find,Pt,Head>Brain,Doc,MR,,http://loinc.org,,,
285,Radiologi,MR otak terbatas nonkontras,Permintaan & Hasil,36105-5,MR Brain limited WO contrast,Multisection limited^WO contrast,Find,Pt,Head>Brain,Doc,MR,,http://loinc.org,,,
286,Radiologi,MR payudara bilateral,Permintaan & Hasil,30795-9,MR Breast - bilateral,Multisection,Find,Pt,Breast.bilateral,Doc,MR,,http://loinc.org,,,
287,Radiologi,MR payudara bilateral dengan kontras IV,Permintaan & Hasil,36150-1,MR Breast - bilateral W contrast IV,Multisection^W contrast IV,Find,Pt,Breast.bilateral,Doc,MR,,http://loinc.org,,,
288,Radiologi,MR payudara bilateral nonkontras,Permintaan & Hasil,36437-2,MR Breast - bilateral WO contrast,Multisection^WO contrast,Find,Pt,Breast.bilateral,Doc,MR,,http://loinc.org,,,
289,Radiologi,MR payudara nonkontras,Permintaan & Hasil,36436-4,MR Breast WO contrast,Multisection^WO contrast,Find,Pt,Breast,Doc,MR,,http://loinc.org,,,
290,Radiologi,MR payudara nonkontras diikuti dengan kontras bilateral,Permintaan & Hasil,36277-2,MR Breast - bilateral WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Breast.bilateral,Doc,MR,,http://loinc.org,,,
291,Radiologi,MR payudara unilateral,Permintaan & Hasil,46299-4,MR Breast - unilateral,Multisection,Find,Pt,Breast.unilateral,Doc,MR,,http://loinc.org,,,
292,Radiologi,MR payudara unilateral dengan kontras IV,Permintaan & Hasil,46323-2,MR Breast - unilateral W contrast IV,Multisection^W contrast IV,Find,Pt,Breast.unilateral,Doc,MR,,http://loinc.org,,,
293,Radiologi,MR payudara unilateral nonkontras,Permintaan & Hasil,46333-1,MR Breast - unilateral WO contrast,Multisection^WO contrast,Find,Pt,Breast.unilateral,Doc,MR,,http://loinc.org,,,
294,Radiologi,MR payudara unilateral nonkontras diikuti dengan kontras IV,Permintaan & Hasil,43528-9,MR Breast - unilateral WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Breast.unilateral,Doc,MR,,http://loinc.org,,,
295,Radiologi,MR pelvis dengan kontras IV,Permintaan & Hasil,36237-6,MR Pelvis W contrast IV,Multisection^W contrast IV,Find,Pt,Pelvis,Doc,MR,,http://loinc.org,,,
296,Radiologi,MR pelvis nonkontras,Permintaan & Hasil,30673-8,MR Pelvis WO contrast,Multisection^WO contrast,Find,Pt,Pelvis,Doc,MR,,http://loinc.org,,,
297,Radiologi,MR pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30674-6,MR Pelvis WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Pelvis,Doc,MR,,http://loinc.org,,,
298,Radiologi,MR prosedur,Permintaan & Hasil,25056-3,MR Unspecified body region,Multisection,Find,Pt,XXX,Doc,MR,,http://loinc.org,,,
299,Radiologi,MR prostat dengan kontras IV,Permintaan & Hasil,36244-2,MR Prostate W contrast IV,Multisection^W contrast IV,Find,Pt,Pelvis>Prostate,Doc,MR,,http://loinc.org,,,
300,Radiologi,MR prostat dynamic nonkontras dengan kontras IV,Permintaan & Hasil,36389-5,MR Prostate WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Pelvis>Prostate,Doc,MR,,http://loinc.org,,,
301,Radiologi,MR prostat nonkontras,Permintaan & Hasil,36519-7,MR Prostate WO contrast,Multisection^WO contrast,Find,Pt,Pelvis>Prostate,Doc,MR,,http://loinc.org,,,
302,Radiologi,MR scapula bilateral nonkontras,Permintaan & Hasil,36061-0,MR Scapula,Multisection,Find,Pt,Chest>Scapula,Doc,MR,,http://loinc.org,302517007,Entire scapula,http://snomed.info/sct
303,Radiologi,MR scapula nonkontras,Permintaan & Hasil,36061-0,MR Scapula,Multisection,Find,Pt,Chest>Scapula,Doc,MR,,http://loinc.org,,,
304,Radiologi,MR sendi ekstremitas atas dengan kontras IV,Permintaan & Hasil,36216-0,MR Upper extremity.joint W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Upper extremity joint,Doc,MR,,http://loinc.org,,,
305,Radiologi,MR sendi ekstremitas atas nonkontras,Permintaan & Hasil,36500-7,MR Upper extremity.joint WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Upper extremity joint,Doc,MR,,http://loinc.org,,,
306,Radiologi,MR sendi ekstremitas atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36374-7,MR Upper extremity.joint WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Upper extremity>Upper extremity joint,Doc,MR,,http://loinc.org,,,
307,Radiologi,MR sendi ekstremitas bawah arthrogram,Permintaan & Hasil,69210-3,MR Lower Extremity Joint Arthrogram,Multisection^W contrast IS,Find,Pt,Lower extremity>Lower extremity joint,Doc,MR,,http://loinc.org,,,
308,Radiologi,MR sendi ekstremitas bawah dengan kontras IV,Permintaan & Hasil,36213-7,MR Lower Extremity Joint W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Lower extremity joint,Doc,MR,,http://loinc.org,,,
309,Radiologi,MR sendi ekstremitas bawah nonkontras,Permintaan & Hasil,36497-6,MR Lower Extremity Joint WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Lower extremity joint,Doc,MR,,http://loinc.org,,,
310,Radiologi,MR sendi ekstremitas bawah nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36371-3,MR Lower Extremity Joint WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Lower extremity>Lower extremity joint,Doc,MR,,http://loinc.org,,,
311,Radiologi,MR sendi temporomandibula,Permintaan & Hasil,24999-5,MR Temporomandibular joint,Multisection,Find,Pt,Head>Temporomandibular joint,Doc,MR,,http://loinc.org,,,
312,Radiologi,MR sinus paranasal dengan kontras IV,Permintaan & Hasil,24915-1,MR Sinuses W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Sinuses,Doc,MR,,http://loinc.org,,,
313,Radiologi,MR sinus paranasal nonkontras,Permintaan & Hasil,30662-1,MR Sinuses WO contrast,Multisection^WO contrast,Find,Pt,Head>Sinuses,Doc,MR,,http://loinc.org,,,
314,Radiologi,MR spectroscopy mammae dengan kontras,Permintaan & Hasil,37443-9,MR spectroscopy Unspecified body region,Multisection,Find,Pt,XXX,Doc,MR.spectroscopy,,http://loinc.org,76752008,Breast structure,http://snomed.info/sct
315,Radiologi,MR spectroscopy mammae nonkontras,Permintaan & Hasil,37443-9,MR spectroscopy Unspecified body region,Multisection,Find,Pt,XXX,Doc,MR.spectroscopy,,http://loinc.org,76752008,Breast structure,http://snomed.info/sct
316,Radiologi,MR spectroscopy prostat,Permintaan & Hasil,37443-9,MR spectroscopy Unspecified body region,Multisection,Find,Pt,XXX,Doc,MR.spectroscopy,,http://loinc.org,41216001,Prostatic structure,http://snomed.info/sct
317,Radiologi,MR spektroscopy,Permintaan & Hasil,37443-9,MR spectroscopy Unspecified body region,Multisection,Find,Pt,XXX,Doc,MR.spectroscopy,,http://loinc.org,,,
318,Radiologi,MR tempora mandibula joint (TMJ) dengan kontras IV,Permintaan & Hasil,37244-1,MR Temporomandibular joint W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Temporomandibular joint,Doc,MR,,http://loinc.org,,,
319,Radiologi,MR tempora mandibula joint (TMJ) nonkontras,Permintaan & Hasil,37284-7,MR Temporomandibular joint WO contrast,Multisection^WO contrast,Find,Pt,Head>Temporomandibular joint,Doc,MR,,http://loinc.org,,,
320,Radiologi,MR thoraks dengan kontras IV,Permintaan & Hasil,36156-8,MR Chest W contrast IV,Multisection^W contrast IV,Find,Pt,Chest,Doc,MR,,http://loinc.org,,,
321,Radiologi,MR thoraks nonkontras,Permintaan & Hasil,36442-2,MR Chest WO contrast,Multisection^WO contrast,Find,Pt,Chest,Doc,MR,,http://loinc.org,,,
322,Radiologi,MR vertebra cervical dengan kontras IT,Permintaan & Hasil,48447-7,MR Cervical spine W contrast IT,Multisection^W contrast IT,Find,Pt,Neck>Spine.cervical,Doc,MR,,http://loinc.org,,,
323,Radiologi,MR vertebra cervical dengan kontras IV,Permintaan & Hasil,24938-3,MR Cervical spine W contrast IV,Multisection^W contrast IV,Find,Pt,Neck>Spine.cervical,Doc,MR,,http://loinc.org,,,
324,Radiologi,MR vertebra cervical nonkontras,Permintaan & Hasil,30667-0,MR Cervical spine WO contrast,Multisection^WO contrast,Find,Pt,Neck>Spine.cervical,Doc,MR,,http://loinc.org,,,
325,Radiologi,MR vertebra cervical nonkontras diikuti dengan kontras IT,Permintaan & Hasil,48450-1,MR Cervical spine WO and W contrast IT,Multisection^WO & W contrast IT,Find,Pt,Neck>Spine.cervical,Doc,MR,,http://loinc.org,,,
326,Radiologi,MR vertebra cervical nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24937-5,MR Cervical spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Spine.cervical,Doc,MR,,http://loinc.org,,,
327,Radiologi,MR vertebra lumbal dengan kontras IT,Permintaan & Hasil,48436-0,MR Lumbar spine W contrast IT,Multisection^W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
328,Radiologi,MR vertebra lumbal dengan kontras IV,Permintaan & Hasil,30678-7,MR Lumbar spine W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
329,Radiologi,MR vertebra lumbal nonkontras,Permintaan & Hasil,30679-5,MR Lumbar spine WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
330,Radiologi,MR vertebra lumbal nonkontras diikuti dengan kontras IT,Permintaan & Hasil,48452-7,MR Lumbar spine WO and W contrast IT,Multisection^WO & W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
331,Radiologi,MR vertebra lumbal nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24967-2,MR Lumbar spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
332,Radiologi,MR vertebra thoracal dengan kontras IT,Permintaan & Hasil,48439-4,MR Thoracic spine W contrast IT,Multisection^W contrast IT,Find,Pt,Chest>Spine.thoracic,Doc,MR,,http://loinc.org,,,
333,Radiologi,MR vertebra thoracal dengan kontras IV,Permintaan & Hasil,24982-1,MR Thoracic spine W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Spine.thoracic,Doc,MR,,http://loinc.org,,,
334,Radiologi,MR vertebra thoracal nonkontras,Permintaan & Hasil,36532-0,MR Thoracic spine WO contrast,Multisection^WO contrast,Find,Pt,Chest>Spine.thoracic,Doc,MR,,http://loinc.org,,,
335,Radiologi,MR vertebra thoracal nonkontras diikuti dengan kontras IT,Permintaan & Hasil,48441-0,MR Thoracic spine WO and W contrast IT,Multisection^WO & W contrast IT,Find,Pt,Chest>Spine.thoracic,Doc,MR,,http://loinc.org,,,
336,Radiologi,MR vertebra thoracal nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24981-3,MR Thoracic spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Spine.thoracic,Doc,MR,,http://loinc.org,,,
337,Radiologi,MR vertebra thoracolumbal nonkontras diikuti dengan kontras,Permintaan & Hasil,94088-2,MR Thoracic and lumbar spine WO and W contrast,Multisection^WO & W contrast,Find,Pt,Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,MR,,http://loinc.org,,,
338,Radiologi,MR whole abdomen dynamic dengan kontras IV,Permintaan & Hasil,X099253,MR whole abdomen dynamic dengan kontras IV,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
339,Radiologi,MR whole abdomen dynamic nonkontras,Permintaan & Hasil,X099254,MR whole abdomen dynamic nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
340,Radiologi,MR whole spine dengan kontras,Permintaan & Hasil,X099255,MR whole spine dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
341,Radiologi,MR whole spine nonkontras,Permintaan & Hasil,38061-8,MR Spine Cervical and Spine Thoracic and Spine Lumbar and Sacrum W contrast IV,Multisection^W contrast IV,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,MR,,http://loinc.org,,,
342,Radiologi,MRA abdomen,Permintaan & Hasil,36791-2,MRA Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,MR.angio,,http://loinc.org,,,
343,Radiologi,MRA abdomen dengan kontras IV,Permintaan & Hasil,24533-2,MRA Abdominal vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Abdominal vessels,Doc,MR.angio,,http://loinc.org,,,
344,Radiologi,MRA abdomen nonkontras,Permintaan & Hasil,36878-7,MRA Abdominal vessels WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Abdominal vessels,Doc,MR.angio,,http://loinc.org,,,
345,Radiologi,MRA abdomen nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36855-5,MRA Abdominal vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Abdominal vessels,Doc,MR.angio,,http://loinc.org,,,
346,Radiologi,MRA aorta abdominalis dengan kontras,Permintaan & Hasil,36272-3,MRA Abdominal Aorta WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Aorta.abdominal,Doc,MR.angio,,http://loinc.org,,,
347,Radiologi,MRA aorta abdominalis nonkontras,Permintaan & Hasil,36432-3,MRA Abdominal Aorta WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Aorta.abdominal,Doc,MR.angio,,http://loinc.org,,,
348,Radiologi,MRA aorta abdominalis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36272-3,MRA Abdominal Aorta WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Aorta.abdominal,Doc,MR.angio,,http://loinc.org,,,
349,Radiologi,MRA aorta abdominalis nonkontras diikuti dengan kontras IV bilateral,Permintaan & Hasil,80502-8,MRA Abdominal Aorta and Bilateral Runoff Vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Aorta.abdominal & Pelvis+Lower extremity.bilateral>RO vessels,Doc,MR.angio,,http://loinc.org,,,
350,Radiologi,MRA aorta thoracalis dengan kontras IV,Permintaan & Hasil,99609-0,MRA Thoracic Aorta W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Aorta.thoracic,Doc,MR.angio,,http://loinc.org,,,
351,Radiologi,MRA aorta thoracalis nonkontras,Permintaan & Hasil,36433-1,MRA Thoracic Aorta WO contrast,Multisection^WO contrast,Find,Pt,Chest>Aorta.thoracic,Doc,MR.angio,,http://loinc.org,,,
352,Radiologi,MRA brain dengan kontras IV,Permintaan & Hasil,24593-6,MRA Head vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Head vessels,Doc,MR.angio,,http://loinc.org,,,
353,Radiologi,MRA brain nonkontras,Permintaan & Hasil,36881-1,MRA Head vessels WO contrast,Multisection^WO contrast,Find,Pt,Head>Head vessels,Doc,MR.angio,,http://loinc.org,,,
354,Radiologi,MRA carotis dengan kontras,Permintaan & Hasil,30859-3,MRA Carotid vessels and Neck vessels,Multisection,Find,Pt,Head+Neck>Carotid vessels & Neck>Neck vessels,Doc,MR.angio,,http://loinc.org,,,
355,Radiologi,MRA carotis nonkontras,Permintaan & Hasil,30859-3,MRA Carotid vessels and Neck vessels,Multisection,Find,Pt,Head+Neck>Carotid vessels & Neck>Neck vessels,Doc,MR.angio,,http://loinc.org,,,
356,Radiologi,MRA ekstremitas atas,Permintaan & Hasil,36084-2,MRA Upper extremity vessels,Multisection,Find,Pt,Upper extremity>Upper extremity vessels,Doc,MR.angio,,http://loinc.org,,,
357,Radiologi,MRA ekstremitas atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36422-4,MRA Upper extremity vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Upper extremity>Upper extremity vessels,Doc,MR.angio,,http://loinc.org,,,
358,Radiologi,MRA ekstremitas bawah,Permintaan & Hasil,30874-2,MRA Lower extremity vessels,Multisection,Find,Pt,Lower extremity>Lower extremity vessels,Doc,MR.angio,,http://loinc.org,,,
359,Radiologi,MRA ekstremitas bawah nonkontras diikuti dengan kontras IV,Permintaan & Hasil,44128-7,MRA Lower extremity vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Lower extremity>Lower extremity vessels,Doc,MR.angio,,http://loinc.org,,,
360,Radiologi,MRA kepala dengan kontras IV,Permintaan & Hasil,24593-6,MRA Head vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Head vessels,Doc,MR.angio,,http://loinc.org,,,
361,Radiologi,MRA kepala nonkontras,Permintaan & Hasil,36881-1,MRA Head vessels WO contrast,Multisection^WO contrast,Find,Pt,Head>Head vessels,Doc,MR.angio,,http://loinc.org,,,
362,Radiologi,MRA kepala nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36857-1,MRA Head vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Head vessels,Doc,MR.angio,,http://loinc.org,,,
363,Radiologi,MRA leher dengan kontras IV,Permintaan & Hasil,24844-3,MRA Neck vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Neck>Neck vessels,Doc,MR.angio,,http://loinc.org,,,
364,Radiologi,MRA leher nonkontras,Permintaan & Hasil,36549-4,MRA Neck vessels WO contrast,Multisection^WO contrast,Find,Pt,Neck>Neck vessels,Doc,MR.angio,,http://loinc.org,,,
365,Radiologi,MRA leher nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36423-2,MRA Neck vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Neck vessels,Doc,MR.angio,,http://loinc.org,,,
366,Radiologi,MRA pelvis,Permintaan & Hasil,30867-6,MRA Pelvis vessels,Multisection,Find,Pt,Pelvis>Pelvis vessels,Doc,MR.angio,,http://loinc.org,,,
367,Radiologi,MRA pelvis dengan kontras IV,Permintaan & Hasil,24873-2,MRA Pelvis vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Pelvis>Pelvis vessels,Doc,MR.angio,,http://loinc.org,,,
368,Radiologi,MRA pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36863-9,MRA Pelvis vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Pelvis>Pelvis vessels,Doc,MR.angio,,http://loinc.org,,,
369,Radiologi,MRA pulmonal artery nonkontras,Permintaan & Hasil,36803-5,MRA Pulmonary vessels,Multisection,Find,Pt,Chest>Pulmonary vessels,Doc,MR.angio,,http://loinc.org,,,
370,Radiologi,MRA thorax,Permintaan & Hasil,30862-7,MRA Chest vessels,Multisection,Find,Pt,Chest>Chest vessels,Doc,MR.angio,,http://loinc.org,,,
371,Radiologi,MRA thorax dengan kontras IV,Permintaan & Hasil,24659-5,MRA Chest vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Chest vessels,Doc,MR.angio,,http://loinc.org,,,
372,Radiologi,MRA thorax nonkontras,Permintaan & Hasil,36547-8,MRA Chest vessels WO contrast,Multisection^WO contrast,Find,Pt,Chest>Chest vessels,Doc,MR.angio,,http://loinc.org,,,
373,Radiologi,MRA vertebra,Permintaan & Hasil,37497-5,MRA Spine vessels,Multisection,Find,Pt,XXX>Spine vessels,Doc,MR.angio,,http://loinc.org,,,
374,Radiologi,MRA vertebra cervical nonkontras diikuti dengan kontras IV,Permintaan & Hasil,37506-3,MRA Cervical spine vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Spine.cervical vessels,Doc,MR.angio,,http://loinc.org,,,
375,Radiologi,MRA vertebra dengan kontras IV,Permintaan & Hasil,37500-6,MRA Spine vessels W contrast IV,Multisection^W contrast IV,Find,Pt,XXX>Spine vessels,Doc,MR.angio,,http://loinc.org,,,
376,Radiologi,MRA vertebra lumbar nonkontras diikuti dengan kontras IV,Permintaan & Hasil,37507-1,MRA Lumbar spine vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Spine.lumbar vessels,Doc,MR.angio,,http://loinc.org,,,
377,Radiologi,MRA vertebra nonkontras,Permintaan & Hasil,37510-5,MRA Spine vessels WO contrast,Multisection^WO contrast,Find,Pt,XXX>Spine vessels,Doc,MR.angio,,http://loinc.org,,,
378,Radiologi,MRA vertebra nonkontras diikuti dengan kontras IV,Permintaan & Hasil,37505-5,MRA Spine vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,XXX>Spine vessels,Doc,MR.angio,,http://loinc.org,,,
379,Radiologi,MRA vertebra thoracal,Permintaan & Hasil,49565-5,MRA Thoracic spine vessels,Multisection,Find,Pt,Chest>Spine.thoracic vessels,Doc,MR.angio,,http://loinc.org,,,
380,Radiologi,MRA vertebra thoracal dengan kontras IV,Permintaan & Hasil,37503-0,MRA Thoracic spine vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Spine.thoracic vessels,Doc,MR.angio,,http://loinc.org,,,
381,Radiologi,MRA vertebra thoracal nonkontras,Permintaan & Hasil,37512-1,MRA Thoracic spine vessels WO contrast,Multisection^WO contrast,Find,Pt,Chest>Spine.thoracic vessels,Doc,MR.angio,,http://loinc.org,,,
382,Radiologi,MRA vertebra thoracal nonkontras diikuti dengan kontras IV,Permintaan & Hasil,37508-9,MRA Thoracic spine vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Spine.thoracic vessels,Doc,MR.angio,,http://loinc.org,,,
383,Radiologi,MRA whole aorta dengan kontras IV,Permintaan & Hasil,44131-1,MRA Thoracic and abdominal aorta WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal,Doc,MR.angio,,http://loinc.org,,,
384,Radiologi,MRA whole aorta nonkontras,Permintaan & Hasil,44132-9,MRA Thoracic and abdominal aorta WO contrast,Multisection^WO contrast,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal,Doc,MR.angio,,http://loinc.org,,,
385,Radiologi,MRCP abdomen atas nonkontras,Permintaan & Hasil,58740-2,MRCP Abdomen WO contrast,Guidance for endoscopy^WO contrast,Find,Pt,Abdomen>Liver+Biliary ducts+Pancreas,Doc,MR,,http://loinc.org,,,
386,Radiologi,MRCP abdomen atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,72248-8,MRCP Abdomen WO and W contrast IV,Guidance for endoscopy^WO & W contrast IV,Find,Pt,Abdomen>Liver+Biliary ducts+Pancreas,Doc,MR,,http://loinc.org,,,
387,Radiologi,MRCP abdomen nonkontras,Permintaan & Hasil,58740-2,MRCP Abdomen WO contrast,Guidance for endoscopy^WO contrast,Find,Pt,Abdomen>Liver+Biliary ducts+Pancreas,Doc,MR,,http://loinc.org,,,
388,Radiologi,MRCP abdomen nonkontras diikuti dengan kontras IV,Permintaan & Hasil,72248-8,MRCP Abdomen WO and W contrast IV,Guidance for endoscopy^WO & W contrast IV,Find,Pt,Abdomen>Liver+Biliary ducts+Pancreas,Doc,MR,,http://loinc.org,,,
389,Radiologi,MRCP dynamic nonkontras,Permintaan & Hasil,X099256,MRCP dynamic nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
